r,model,subject,channel
0.05907897306443762,model4,S0006,ROF8
0.10407825235985718,model1,S0006,ROF9
0.05296932299498509,model4,S0006,ROF9
0.0972424940739991,model1,S0006,ROF10
0.04131639211213956,model4,S0006,ROF10
0.09765786236336034,model1,S0006,ROF11
0.02861572819261942,model4,S0006,ROF11
0.07564843944182638,model1,S0006,ROF12
0.04382883968907676,model4,S0006,ROF12
0.043253299495734594,model1,S0006,ROF13
0.037541373262650286,model4,S0006,ROF13
0.06423385741076655,model1,S0006,ROF14
0.03417077105653492,model4,S0006,ROF14
0.07815136929604756,model1,S0006,ROF15
0.05812376272047465,model4,S0006,ROF15
0.06039589264465984,model1,S0006,ROF16
0.04603454217019821,model4,S0006,ROF16
0.07505526234880837,model1,S0006,RAC1
0.011322295357038485,model4,S0006,RAC1
0.0935644420457336,model1,S0006,RAC2
0.020359098537035825,model4,S0006,RAC2
0.09771010509475098,model1,S0006,RAC3
0.017133974405331296,model4,S0006,RAC3
0.04269193285157017,model1,S0006,RAC4
0.0075778107419745624,model4,S0006,RAC4
0.0749751537248736,model1,S0006,RAC5
0.03626648043704813,model4,S0006,RAC5
0.07749121481898383,model1,S0006,RAC6
0.03853662880571334,model4,S0006,RAC6
0.027182157758111083,model1,S0006,RAC7
0.028142247048008242,model4,S0006,RAC7
0.002838634974934425,model1,S0006,RAC8
-0.003218184228623616,model4,S0006,RAC8
0.031318577445642475,model1,S0006,RAC9
0.03037182531785713,model4,S0006,RAC9
0.07435007592059015,model1,S0006,RAC10
0.06830536920829601,model4,S0006,RAC10
0.11066684069659874,model1,S0006,RAC11
0.07661199620998274,model4,S0006,RAC11
0.09447288400087027,model1,S0006,RAC12
0.08001458076083144,model4,S0006,RAC12
0.1238385576331466,model1,S0007,AMF-AC1
0.06729767465785337,model4,S0007,AMF-AC1
0.2541630696035535,model1,S0007,AMF-AC2
0.07377208663471335,model4,S0007,AMF-AC2
0.2950483368473095,model1,S0007,AMF-AC3
0.07957888703413636,model4,S0007,AMF-AC3
0.3134187795001868,model1,S0007,AMF-AC4
0.07473465852022737,model4,S0007,AMF-AC4
0.2980435644424232,model1,S0007,AMF-AC5
0.06644025493341953,model4,S0007,AMF-AC5
0.2183012525265435,model1,S0007,AMF-AC6
0.0539420396591517,model4,S0007,AMF-AC6
0.07838185730258558,model1,S0007,AMF-AC7
0.0397563131484389,model4,S0007,AMF-AC7
0.12082924043181313,model1,S0007,AMF-AC8
0.04222692518773144,model4,S0007,AMF-AC8
0.2375891849651463,model1,S0007,AMF-AC9
0.1021341176058108,model4,S0007,AMF-AC9
0.031481648670827964,model1,S0007,AMF-AC10
0.03848720237709504,model4,S0007,AMF-AC10
0.149959436799338,model1,S0007,AMF-AC11
0.0616446556236513,model4,S0007,AMF-AC11
0.2388967630496028,model1,S0007,AMF-AC12
0.07938092228888913,model4,S0007,AMF-AC12
0.4189090715485843,model1,S0007,AMF-AC13
0.17832381466120056,model4,S0007,AMF-AC13
0.4651939260720816,model1,S0007,AMF-AC14
0.22168912017579875,model4,S0007,AMF-AC14
0.21713559117314388,model1,S0007,MSF-MC1
0.06587718735262943,model4,S0007,MSF-MC1
0.2814643391863044,model1,S0007,MSF-MC2
0.08994715833466968,model4,S0007,MSF-MC2
0.21445039889750875,model1,S0007,MSF-MC3
0.059895734173018675,model4,S0007,MSF-MC3
0.12687981680831814,model1,S0007,MSF-MC4
0.04665198066569242,model4,S0007,MSF-MC4
0.07520787908042906,model1,S0007,MSF-MC5
0.04840475556499469,model4,S0007,MSF-MC5
0.13450258692707515,model1,S0007,MSF-MC6
0.057803241690813724,model4,S0007,MSF-MC6
0.2091576805793447,model1,S0007,MSF-MC7
0.07710883974892277,model4,S0007,MSF-MC7
0.11321029569536528,model1,S0007,MSF-MC8
0.03292285159702245,model4,S0007,MSF-MC8
0.03273895869689911,model1,S0007,MSF-MC9
0.006674546312101885,model4,S0007,MSF-MC9
0.04383158283910028,model1,S0007,MSF-MC10
0.02839848246581448,model4,S0007,MSF-MC10
0.11727184852530835,model1,S0007,AIF-OF1
0.035351410039031264,model4,S0007,AIF-OF1
0.06407059388370882,model1,S0007,AIF-OF2
-0.0036683751533156225,model4,S0007,AIF-OF2
0.16046050607375234,model1,S0007,AIF-OF3
0.02633769378285677,model4,S0007,AIF-OF3
0.024304812562861725,model1,S0007,AIF-OF4
0.005106881971184615,model4,S0007,AIF-OF4
0.04143312420167308,model1,S0007,AIF-OF5
-0.005819377604595543,model4,S0007,AIF-OF5
0.05469178988511172,model1,S0007,AIF-OF6
0.03324360008531477,model4,S0007,AIF-OF6
0.07983610136918347,model1,S0007,AIF-OF7
0.004240480257763489,model4,S0007,AIF-OF7
0.0789843400216183,model1,S0007,AIF-OF8
0.04142368168593035,model4,S0007,AIF-OF8
0.1591342394245402,model1,S0007,AIF-OF9
0.0855825916014267,model4,S0007,AIF-OF9
0.16441722024946614,model1,S0007,AIF-OF10
0.07693552379924924,model4,S0007,AIF-OF10
0.2889032311761113,model1,S0007,AIF-OF11
0.15705336142528414,model4,S0007,AIF-OF11
0.3625996530036169,model1,S0007,AIF-OF12
0.1873010097560508,model4,S0007,AIF-OF12
0.4430360087706913,model1,S0007,AIF-OF13
0.2324860831019697,model4,S0007,AIF-OF13
0.4786310431595295,model1,S0007,AIF-OF14
0.2291294075205077,model4,S0007,AIF-OF14
0.2308250837438779,model1,S0007,ASF-AI1
0.06240860223030844,model4,S0007,ASF-AI1
0.19459941724486848,model1,S0007,ASF-AI2
