subj,elec,elec_type,roi,roi_condensed,window,si
S0004,RInIns3,no_onset,ctx_rh_S_circular_insula_inf,insula_inf,sustained,0.2784560977111583
S0004,RInIns4,no_onset,ctx_rh_S_circular_insula_inf,insula_inf,onset,0.29603114762362437
S0004,RInIns4,no_onset,ctx_rh_S_circular_insula_inf,insula_inf,sustained,0.30860148774918805
S0004,RInIns5,dual_onset,ctx_rh_S_circular_insula_inf,insula_inf,onset,0.22453931793530768
S0004,RInIns5,dual_onset,ctx_rh_S_circular_insula_inf,insula_inf,sustained,0.2442018455225905
S0004,RInIns7,dual_onset,Right-Cerebral-White-Matter,wm,onset,0.08167170139374114
S0004,RInIns7,dual_onset,Right-Cerebral-White-Matter,wm,sustained,0.0914932499740504
S0004,RInIns8,dual_onset,Right-Cerebral-White-Matter,wm,onset,0.05087587744703792
S0004,RInIns8,dual_onset,Right-Cerebral-White-Matter,wm,sustained,0.07510602921058296
S0004,RSpIns1,mic_only,Right-Cerebral-White-Matter,wm,onset,0.12776345259345856
S0004,RSpIns1,mic_only,Right-Cerebral-White-Matter,wm,sustained,0.2082381616415525
S0004,RSpIns2,mic_only,ctx_rh_S_circular_insula_sup,insula_sup,onset,0.027780725357401392
S0004,RSpIns2,mic_only,ctx_rh_S_circular_insula_sup,insula_sup,sustained,0.022900725903049368
S0004,RSpIns3,mic_only,ctx_rh_S_circular_insula_sup,insula_sup,onset,0.08727403304403558
S0004,RSpIns3,mic_only,ctx_rh_S_circular_insula_sup,insula_sup,sustained,0.14802179262859516
S0004,RSpIns4,mic_only,ctx_rh_S_circular_insula_sup,insula_sup,onset,0.011667400458863497
S0004,RSpIns4,mic_only,ctx_rh_S_circular_insula_sup,insula_sup,sustained,0.10430251469801122
S0004,RSpIns5,mic_only,ctx_rh_S_circular_insula_sup,insula_sup,onset,0.10072451611260202
S0004,RSpIns5,mic_only,ctx_rh_S_circular_insula_sup,insula_sup,sustained,0.1468524175454906
S0004,RSpIns6,mic_only,ctx_rh_S_circular_insula_sup,insula_sup,onset,0.1263859022572038
S0004,RSpIns6,mic_only,ctx_rh_S_circular_insula_sup,insula_sup,sustained,0.16884201209074856
S0004,RSpIns7,mic_only,ctx_rh_S_circular_insula_sup,insula_sup,onset,0.04734469622114745
S0004,RSpIns7,mic_only,ctx_rh_S_circular_insula_sup,insula_sup,sustained,0.12643020996079324
S0004,RSpIns8,mic_only,Right-Cerebral-White-Matter,wm,onset,0.15441182033335332
S0004,RSpIns8,mic_only,Right-Cerebral-White-Matter,wm,sustained,0.11853693155827072
S0006,RAST1,no_onset,Right-Amygdala,amyg,onset,0.16482118021864545
S0006,RAST1,no_onset,Right-Amygdala,amyg,sustained,0.28952483049337663
S0006,RAST2,no_onset,Right-Amygdala,amyg,onset,0.2762814255362358
S0006,RAST2,no_onset,Right-Amygdala,amyg,sustained,0.3222890793422335
S0006,RAST3,no_onset,Right-Amygdala,amyg,onset,0.3155672950984798
S0006,RAST3,no_onset,Right-Amygdala,amyg,sustained,0.3180635868524433
S0006,RAST5,no_onset,Right-Cerebral-White-Matter,wm,onset,0.3498961307621793
S0006,RAST5,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.31773623754324953
S0006,RAST6,no_onset,Right-Cerebral-White-Matter,wm,onset,0.30384068680993304
S0006,RAST6,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.2552849139022606
S0006,RAST7,no_onset,Right-Cerebral-White-Matter,wm,onset,0.21600310878089557
S0006,RAST7,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.1835966628948016
S0006,RAST8,no_onset,Right-Cerebral-White-Matter,wm,onset,0.14750826926854543
S0006,RAST8,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.1124929113279094
S0006,RAST9,no_onset,Right-Cerebral-White-Matter,wm,onset,0.10979098209605986
S0006,RAST9,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.05769926607229081
S0006,RAST10,no_onset,Right-Cerebral-White-Matter,wm,onset,0.1330549747913714
S0006,RAST10,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.07064489898654469
S0006,RAST11,mic_only,ctx_rh_G_temporal_middle,MTG,onset,0.03006829754785345
S0006,RAST11,mic_only,ctx_rh_G_temporal_middle,MTG,sustained,-0.032288725696953735
S0006,RAST12,mic_only,ctx_rh_G_temporal_middle,MTG,onset,-0.09110167712604222
S0006,RAST12,mic_only,ctx_rh_G_temporal_middle,MTG,sustained,-0.1466031278424721
S0006,RMST1,no_onset,Right-Hippocampus,hippo,onset,0.23161616298878496
S0006,RMST1,no_onset,Right-Hippocampus,hippo,sustained,0.25057141240680236
S0006,RMST2,no_onset,Right-Hippocampus,hippo,onset,0.25097536587499625
S0006,RMST2,no_onset,Right-Hippocampus,hippo,sustained,0.2561260521386588
S0006,RMST3,no_onset,Right-Hippocampus,hippo,onset,0.23926974200794793
S0006,RMST3,no_onset,Right-Hippocampus,hippo,sustained,0.240657639198123
S0006,RMST4,no_onset,Right-Cerebral-White-Matter,wm,onset,0.2267203044436561
S0006,RMST4,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.23994753258607537
S0006,RMST5,no_onset,Right-Cerebral-White-Matter,wm,onset,0.2698381008819781
S0006,RMST5,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.2982746279987183
S0006,RMST6,no_onset,Right-Cerebral-White-Matter,wm,onset,0.2848936460053102
S0006,RMST6,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.2896585642223666
S0006,RMST7,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.2721583288255571
S0006,RMST7,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.25417616181556557
S0006,RMST8,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.2702045482116491
S0006,RMST8,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.2556027192098753
S0006,RMST9,dual_onset,ctx_rh_S_temporal_sup,STS,onset,0.38573788816721066
S0006,RMST9,dual_onset,ctx_rh_S_temporal_sup,STS,sustained,0.3057224062626418
S0006,RMST10,spkr_only,ctx_rh_S_temporal_sup,STS,onset,0.5825924124903004
S0006,RMST10,spkr_only,ctx_rh_S_temporal_sup,STS,sustained,0.3937617148035928
S0006,RMST11,dual_onset,ctx_rh_S_temporal_sup,STS,onset,0.5893719535423136
S0006,RMST11,dual_onset,ctx_rh_S_temporal_sup,STS,sustained,0.364992656654066
S0006,RMST12,dual_onset,ctx_rh_S_temporal_sup,STS,onset,0.3514112230915798
S0006,RMST12,dual_onset,ctx_rh_S_temporal_sup,STS,sustained,0.2377653839967817
S0006,RMST13,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.16272453028664158
S0006,RMST13,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.01896974331440804
S0006,RMST14,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.05662659021171579
S0006,RMST14,no_onset,ctx_rh_S_temporal_sup,STS,sustained,-0.08664467124705377
S0006,RPST1,no_onset,Right-Cerebral-White-Matter,wm,onset,0.11469706719210127
S0006,RPST1,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.20857576342879236
S0006,RPST2,mic_only,Right-Cerebral-White-Matter,wm,onset,0.10495088170818945
S0006,RPST2,mic_only,Right-Cerebral-White-Matter,wm,sustained,0.1123890658904767
S0006,RPST3,mic_only,ctx_rh_S_collat_transv_ant,occ_temp,onset,0.08896006734377115
S0006,RPST3,mic_only,ctx_rh_S_collat_transv_ant,occ_temp,sustained,0.08745204951954899
S0006,RPST4,mic_only,ctx_rh_S_collat_transv_ant,occ_temp,onset,0.05703569904185102
S0006,RPST4,mic_only,ctx_rh_S_collat_transv_ant,occ_temp,sustained,0.09583798930146292
S0006,RPST5,no_onset,Right-Cerebral-White-Matter,wm,onset,0.2990080231626424
S0006,RPST5,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.32037645674278137
S0006,RPST6,no_onset,Right-Cerebral-White-Matter,wm,onset,0.25837581625467765
S0006,RPST6,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.40770044756755897
S0006,RPST7,dual_onset,ctx_rh_S_temporal_inf,ITS,onset,0.23126305760630816
S0006,RPST7,dual_onset,ctx_rh_S_temporal_inf,ITS,sustained,0.2589158668672047
S0006,RPST8,no_onset,ctx_rh_G_temporal_middle,MTG,onset,0.26995516513087003
S0006,RPST8,no_onset,ctx_rh_G_temporal_middle,MTG,sustained,0.2614407887093386
S0006,RPST9,no_onset,ctx_rh_G_temporal_middle,MTG,onset,0.3438742709634184
S0006,RPST9,no_onset,ctx_rh_G_temporal_middle,MTG,sustained,0.32737464277900963
S0006,RPST10,no_onset,ctx_rh_G_temporal_middle,MTG,onset,0.3281996221499408
S0006,RPST10,no_onset,ctx_rh_G_temporal_middle,MTG,sustained,0.3120851432741809
S0006,RPST11,spkr_only,ctx_rh_G_temporal_middle,MTG,onset,0.28114205833454964
S0006,RPST11,spkr_only,ctx_rh_G_temporal_middle,MTG,sustained,0.21215272327117463
S0006,RPST12,no_onset,ctx_rh_G_temporal_middle,MTG,onset,0.13303040919449782
S0006,RPST12,no_onset,ctx_rh_G_temporal_middle,MTG,sustained,0.15803596963447752
S0006,RPPST1,no_onset,ctx_rh_G_oc-temp_med-Parahip,hippo,onset,0.028525567805960605
S0006,RPPST1,no_onset,ctx_rh_G_oc-temp_med-Parahip,hippo,sustained,0.17622823650929886
S0006,RPPST2,no_onset,Right-Cerebral-White-Matter,wm,onset,0.07732322822367665
S0006,RPPST2,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.2122310887304666
S0006,RPPST3,no_onset,Right-Cerebral-White-Matter,wm,onset,0.040273520265080354
S0006,RPPST3,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.16208610497848097
S0006,RPPST4,no_onset,Right-Hippocampus,hippo,onset,0.008028359016303943
S0006,RPPST4,no_onset,Right-Hippocampus,hippo,sustained,0.1079007392816389
S0006,RPPST5,mic_only,Right-Cerebral-White-Matter,wm,onset,0.020596836202348312
S0006,RPPST5,mic_only,Right-Cerebral-White-Matter,wm,sustained,0.06017154139650338
S0006,RPPST6,no_onset,Right-Cerebral-White-Matter,wm,onset,0.23927710872034624
S0006,RPPST6,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.17255964992347206
S0006,RPPST7,no_onset,Right-Cerebral-White-Matter,wm,onset,0.30588971853589375
S0006,RPPST7,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.3675495189161251
S0006,RPPST8,dual_onset,ctx_rh_S_temporal_sup,STS,onset,0.054689212921867014
