subject,channel
S0018,PIF-AI6
S0018,PIF-AI7
S0018,PIF-AI8
S0019,LAH1
S0019,LAH2
S0019,LAH3
S0019,LAT1
S0019,LAT6
S0019,LG12
S0019,LG13
S0019,LG14
S0019,LG15
S0019,LG16
S0019,LG17
S0019,LG18
S0019,LG19
S0019,LG20
S0019,LG32
S0019,LG38
S0019,LG3
S0019,LG40
S0019,LG42
S0019,LG46
S0019,LG47
S0019,LG4
S0019,LG56
S0019,LG59
S0019,LG60
S0019,LG62
S0019,LG63
S0019,LG64
S0019,LG6
S0019,LG8
S0019,LPF4
S0019,LPH6
S0020,SMF-AC1
S0020,SMF-AC2
S0020,SMF-AC3
S0020,SMF-AC4
S0020,AIF-OF4
S0020,AIF-OF5
S0020,AIF-OF6
S0020,AIF-OF7
S0020,AIF-OF8
S0020,AIF-OF9
S0020,AIF-OF10
S0020,AIF-OF11
S0020,AIF-OF12
S0020,AIF-OF13
S0020,AIF-OF14
S0020,AIF-OF15
S0020,AIF-OF16
S0020,PIF-AI2
S0020,PIF-AI3
S0020,PIF-AI6
S0020,PIF-AI7
S0020,PIF-AI8
S0020,PIF-MI1
S0020,PIF-MI2
S0020,PIF-MI3
S0020,AIP-PI7
S0020,AIP-PI8
S0020,AIP-PI9
S0020,AIP-PI10
S0020,AIP-PI11
S0020,AIP-PI12
S0020,PT-MT1
S0020,PT-MT2
S0020,PT-MT3
S0020,PT-MT4
S0020,PT-MT9
S0020,IMF-AC'1
S0020,IMF-AC'2
S0020,IMF-AC'3
S0020,IMF-AC'6
S0020,IMF-AC'7
S0020,IMF-AC'8
S0020,AIP-OF'2
S0020,AIP-OF'3
S0020,AIP-OF'4
S0020,AIP-OF'5
S0020,AIP-OF'6
S0020,AIP-OF'7
S0020,AIP-OF'8
S0020,AIP-OF'9
S0020,AIP-OF'12
S0020,PIF-AI'8
S0020,PIF-MI'1
S0021,PSF-PC'1
S0021,PSF-PC'2
S0021,PSF-PC'3
S0021,PSF-PC'4
S0021,PSF-PC'5
S0021,PSF-PC'6
S0021,PSF-PC'7
S0021,PSF-PC'8
S0021,PSF-PC'9
S0021,PSF-PC'11
S0021,PSF-PC'12
S0021,PMF-MC'1
S0021,PMF-MC'2
S0021,PMF-MC'3
S0021,PMF-MC'4
S0021,PMF-MC'5
S0021,PMF-MC'6
S0021,PMF-MC'7
S0021,PMF-MC'8
S0021,PMF-MC'9
S0021,PMF-MC'10
S0021,PIF-MI'1
S0021,PIF-MI'2
S0021,PIF-MI'4
S0021,PIF-MI'5
S0021,PIF-MI'6
S0021,PIF-MI'7
S0021,PIF-MI'8
S0021,ASP-PI'1
S0021,ASP-PI'2
S0021,ASP-PI'3
S0021,ASP-PI'4
S0021,ASP-PI'5
S0021,ASP-PI'6
S0021,ASP-PI'9
S0021,ASP-PI'10
S0021,PIP-PC'1
S0021,PIP-PC'2
S0021,PIP-PC'3
S0021,PIP-PC'4
S0021,PIP-PC'5
S0021,PIP-PC'6
S0021,PIP-PC'7
S0021,PIP-PC'8
S0021,PIP-PC'9
S0021,PIP-PC'10
S0021,PIP-PC'11
S0021,PIP-PC'12
S0021,PIP-PC'13
S0021,PIP-PC'14
S0021,LMO-OP'1
S0021,LMO-OP'2
S0021,LMO-OP'3
S0021,LMO-OP'4
S0021,LMO-OP'5
S0021,LMO-OP'6
S0021,LMO-OP'7
S0021,LMO-OP'8
S0021,LMO-OP'9
S0021,LMO-OP'10
S0021,LIO-MO'1
S0021,LIO-MO'2
S0021,LIO-MO'3
S0021,LIO-MO'4
S0021,LIO-MO'5
S0021,LIO-MO'6
S0021,LIO-MO'7
S0021,LIO-MO'8
S0021,LIO-MO'9
S0021,LIO-MO'10
S0021,PMF-MC1
S0021,PMF-MC2
S0021,PMF-MC3
S0021,PMF-MC4
S0021,PMF-MC5
S0021,PMF-MC6
S0021,PMF-MC7
S0021,PMF-MC8
S0021,PMF-MC9
S0021,PMF-MC10
S0021,PMF-MC11
S0021,PMF-MC13
S0021,PMF-MC14
S0021,PMF-MC15
S0021,PMF-MC16
S0021,PIF-MI1
S0021,PIF-MI2
S0021,PIF-MI3
S0021,PIF-MI4
S0021,PIF-MI5
S0021,PIF-MI6
S0021,PIF-MI7
S0021,AP-PI1
S0021,AP-PI4
S0021,AP-PI10
S0023,ASF-MOF5
S0023,ASF-MOF10
S0023,ASF-MOF11
S0023,ASF-MOF12
S0023,ASF-MOF13
S0023,ASF-MOF14
S0023,ASF-MOF15
S0023,AMF-LOF1
S0023,AMF-LOF6
S0023,AMF-LOF7
S0023,AMF-LOF8
S0023,AMF-LOF9
S0023,AMF-LOF10
S0023,AMF-LOF11
S0023,AMF-LOF12
S0023,AIF-OF1
S0023,AIF-OF2
S0023,AIF-OF3
S0023,AIF-OF4
S0023,AIF-OF6
S0023,AIF-OF7
S0023,AIF-OF8
S0023,AIF-OF13
S0023,AIF-AC4
S0023,AIF-AC5
S0023,AIF-AC6
S0023,AIF-AC7
S0023,AIF-AC8
S0023,AIF-AC10
S0023,AIF-AC11
S0023,AIF-AC12
S0023,AIF-AC13
S0023,AIF-AC14
S0023,AIF-AC15
S0023,AIF-AC16
S0023,AMF-AC1
S0023,AMF-AC5
S0023,AMF-AC6
S0023,AMF-AC7
S0023,AMF-AC8
S0023,AMF-AC9
S0023,AMF-AC11
S0023,AMF-AC12
S0023,MSF-MC1
S0023,MSF-MC2
S0023,MSF-MC3
S0023,MSF-MC4
S0023,MSF-MC5
S0023,MSF-MC6
S0023,MSF-MC7
S0023,MSF-MC8
S0023,MSF-MC9
S0023,MSF-MC10
S0023,MMF-AI1
S0023,MMF-AI3
S0023,MMF-AI4
S0023,MMF-AI5
S0023,MMF-AI6
S0023,MMF-AI7
S0023,MMF-AI8
S0023,MMF-AI9
S0023,MMF-AI10
S0023,MMF-AI11
S0023,PIF-PSI8
S0023,PMF-PC1
S0023,PMF-PC2
S0023,PMF-PC3
S0023,PMF-PC4
S0023,PMF-PC5
S0023,PMF-PC6
S0023,PMF-PC7
S0023,PMF-PC8
S0023,PMF-PC9
S0023,PMF-PC10
S0023,PMF-PC11
